How	How	c-crq	How	how	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
least	least	ds	least	least	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
attend	attend	vvi	attend	attend	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
,	,	,	,	,	0
if	if	cs	if	if	0
one	one	pi	one	one	0
should	should	vmd	should	shall	0
chance	chance	vvi	chance	chance	0
to	to	pc-acp	to	to	0
fall	fall	vvi	fallen	fall	0
sicke	sicke	j	sick	sick	0
,	,	,	,	,	0
we	we	pns12	we	we	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
without	without	p-acp	without	without	0
another	another	j-jn	another	another	0
.	.	.	.	.	1
Then	Then	av	Then	then	0
returning	returning	vvg	returning	return	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
court	court	n1	court	court	0
,	,	,	,	,	0
he	he	pns31	he	he	0
told	told	vvd	told	tell	0
these	these	d	these	these	0
sayings	sayings	n2-vvg	sayings	say	0
unto	unto	p-acp	unto	unto	0
Baatu	Baatu	fw-la	Baatu	baatu	0
.	.	.	.	.	1
And	And	np1	And	And	0
Baatu	Baatu	fw-la	Baatu	baatu	0
commanded	commanded	j-vvn	commanded	command	0
saying	saying	n1	saying	saying	0
:	:	:	:	:	0
let	let	vvb	let	let	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
275	275	crd	275	275	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
the	the	dt	the	the	0
two	two	crd	two	two	0
Priests	Priests	n2	Priests	priest	0
and	and	cc	and	and	0
the	the	dt	the	the	0
interpreter	interpreter	n1	interpreter	interpreter	0
goe	goe	vvb	go	go	0
together	together	av	together	together	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
let	let	vvb	let	let	0
the	the	dt	the	the	0
clearke	clearke	n1	clerk	clerk	0
returne	returne	vvb	return	return	0
unto	unto	p-acp	unto	unto	0
Sartach	Sartach	np1	Sartach	Sartach	0
.	.	.	.	.	1
And	And	np1	And	And	0
comming	comming	vvg	coming	come	0
againe	againe	av	again	again	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
tolde	tolde	vvd	told	tell	0
us	us	pno12	us	we	0
even	even	av	even	even	0
so	so	av	so	so	0
.	.	.	.	.	1
And	And	cc	And	and	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
spoken	spoken	vvn	spoken	speak	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
clearke	clearke	n1	clerk	clerk	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
had	had	vhn	had	have	0
him	him	pno31	him	he	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
,	,	,	,	,	0
he	he	pns31	he	he	0
saide	saide	vvd	said	say	0
:	:	:	:	:	0
No	No	av-dx	No	no	0
more	more	dc	more	more	0
words	words	n2	words	word	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
Baatu	Baatu	fw-la	Baatu	baatu	0
hath	hath	vhz	hath	have	0
resolved	resolved	vvn	resolved	resolve	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
not	not	xx	not	not	0
goe	goe	vvi	go	go	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
court	court	n1	court	court	0
any	any	d	any	any	0
more	more	dc	more	more	0
.	.	.	.	.	1
Goset	Goset	n1	Goset	goset	0
the	the	dt	the	the	0
clearke	clearke	n1	clerk	clerk	0
had	had	vhd	had	have	0
remaining	remaining	vvg	remaining	remain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
almes	almes	n2	alms	alm	0
money	money	n1	money	money	0
bestowed	bestowed	vvn	bestowed	bestow	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
,	,	,	,	,	0
26.	26.	crd	26.	26.	1
Yperperas	Yperperas	np1	Yperperas	Yperperas	0
,	,	,	,	,	0
and	and	cc	and	and	0
no	no	dx	no	no	0
more	more	av-dc	more	more	0
;	;	;	;	;	0
10.	10.	crd	10.	10.	0
whereof	whereof	c-crq	whereof	whereof	0
he	he	pns31	he	he	0
kept	kept	vvd	kept	keep	0
for	for	p-acp	for	for	0
himselfe	himselfe	px31	himself	himself	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
lad	lad	n1	lad	lad	0
,	,	,	,	,	0
and	and	cc	and	and	0
16.	16.	crd	16.	16.	0
he	he	pns31	he	he	0
gave	gave	vvd	gave	give	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
.	.	.	.	.	1
And	And	cc	And	and	0
thus	thus	av	thus	thus	0
were	were	vbdr	were	be	0
we	we	pns12	we	we	0
parted	parted	vvn	parted	part	0
asunder	asunder	av	asunder	asunder	0
with	with	p-acp	with	with	0
teares	teares	n2	tears	tear	0
:	:	:	:	:	0
he	he	pns31	he	he	0
returning	returning	vvg	returning	return	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
court	court	n1	court	court	0
of	of	pp-f	of	of	0
Sartach	Sartach	np1	Sartach	Sartach	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
remaining	remaining	vvg	remaining	remain	0
still	still	av	still	still	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
place	place	n1	place	place	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Of	Of	pp-f	Of	of	0
our	our	po12	our	our	0
journey	journey	n1	journey	journey	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
Mangu	Mangu	np1	Mangu	Mangu	0
Can	Can	vmb	Can	can	0
.	.	.	.	.	1
Chap.	Chap.	np1	Chap.	Chap.	0
22.	22.	crd	22.	22.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
UPon	UPon	p-acp	UPon	upon	0
Assumption	Assumption	np1	Assumption	Assumption	0
even	even	av	even	even	0
our	our	po12	our	our	0
clearke	clearke	n1	clerk	clerk	0
arrived	arrived	vvn	arrived	arrive	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
court	court	n1	court	court	0
of	of	pp-f	of	of	0
Sartach	Sartach	np1	Sartach	Sartach	0
.	.	.	.	.	1
And	And	cc	And	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
morrow	morrow	n1	morrow	morrow	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
the	the	dt	the	the	0
Nestorian	Nestorian	jp	Nestorian	nestorian	0
Priestes	Priestes	n2	Priests	priest	0
were	were	vbdr	were	be	0
adorned	adorned	vvn	adorned	adorn	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
vestments	vestments	n2	vestments	vestment	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
presence	presence	n1	presence	presence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
Sartach	Sartach	n1	Sartach	sartach	0
.	.	.	.	.	1
Then	Then	cs	Then	than	0
wee	wee	pns12	we	we	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
were	were	vbdr	were	be	0
conducted	conducted	vvn	conducted	conduct	0
unto	unto	p-acp	unto	unto	0
another	another	j-jn	another	another	0
hoste	hoste	n1	host	host	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
appointed	appointed	vvn	appointed	appoint	0
to	to	pc-acp	to	to	0
provide	provide	vvi	provide	provide	0
us	us	pno12	us	we	0
housefoome	housefoome	n1	housefoome	housefoome	0
,	,	,	,	,	0
victualles	victualles	n2	victuals	victual	0
,	,	,	,	,	0
and	and	cc	and	and	0
horses	horses	n2	horses	horse	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
because	because	c-acp	because	because	0
wee	wee	pns12	we	we	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
ought	ought	pi	ought	aught	0
to	to	pc-acp	to	to	0
bestowe	bestowe	vvi	bestow	bestow	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
did	did	vdd	did	do	0
They	They	pns32	They	they	0
travell	travell	vvi	travel	travel	0
all	all	d	all	all	0
things	things	n2	things	thing	0
untowardly	untowardly	av-j	untowardly	untoward	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
.	.	.	.	.	1
Then	Then	cs	Then	than	0
wee	wee	pns12	we	we	0
rode	rode	vvd	road	ride	0
on	on	p-acp	on	on	0
for-^thubanh^of^	for-^thubanh^of^	j	for-^thubanh^of^	for-^thubanh^of^	0
warde	warde	n1	ward	ward	0
whh	whh	vvz	whh	whh	0
Baatu	Baatu	fw-la	Baatu	baatu	0
,	,	,	,	,	0
descending	descending	vvg	descending	descend	0
along	along	a-acp	along	along	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
banke	banke	n1	bank	bank	0
of	of	pp-f	of	of	0
Etilia	Etilia	np1	Etilia	Etilia	0
,	,	,	,	,	0
Etilia	Etilia	np1	Etilia	Etilia	0
.	.	.	.	.	1
J	J	pns11	J	i	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
five	five	crd	five	five	0
weekes	weekes	n2	weeks	week	0
together	together	av	together	together	0
:	:	:	:	:	0
Sometimes	Sometimes	av	Sometime	sometime	0
mine	mine	po11	mine	my	0
associate	associate	n1	associate	associate	0
was	was	vbds	was	be	0
so	so	av	so	so	0
extremelie	extremelie	av-jn	extremely	extreme	0
hungrie	hungrie	j	hungry	hungry	0
,	,	,	,	,	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
would	would	vmd	would	will	0
tell	tell	vvi	tell	tell	0
mee	mee	pno11	me	i	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
manner	manner	n1	manner	manner	0
weeping	weeping	vvg	weeping	weep	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
fared	fared	vvd	fared	fare	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
as	as	c-acp	as	as	0
though	though	cs	though	though	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
never	never	av-x	never	never	0
eaten	eaten	vvn	eaten	eat	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
his	his	po31	his	his	0
life	life	n1	life	life	0
before	before	a-acp	before	before	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
faire	faire	j	fair	fair	0
or	or	cc	or	or	0
market	market	n1	market	market	0
following	following	vvg	following	follow	0
the	the	dt	the	the	0
court	court	n1	court	court	0
of	of	pp-f	of	of	0
Baatu	Baatu	fw-la	Baatu	baatu	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
distant	distant	j	distant	distant	0
from	from	p-acp	from	from	0
us	us	pno12	us	we	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
recourse	recourse	n1	recourse	recourse	0
thereunto	thereunto	av	thereunto	thereunto	0
.	.	.	.	.	1
For	For	c-acp	For	for	0
wee	wee	pns12	we	we	0
were	were	vbdr	were	be	0
constrained	constrained	vvn	constrained	constrain	0
to	to	pc-acp	to	to	0
walke	walke	vvi	walk	walk	0
on	on	p-acp	on	on	0
foote	foote	n1	foot	foot	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
horses	horses	n2	horses	horse	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
length	length	n1	length	length	0
Hungarians	Hungarians	np1	Hungarians	Hungarians	0
,	,	,	,	,	0
certaine	certaine	j	certain	certain	0
Hungarians	Hungarians	np1	Hungarians	Hungarians	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
sometime	sometime	av	sometime	sometime	0
bene	bene	vbn	be	be	0
after	after	p-acp	after	after	0
a	a	dt	a	a	0
sort	sort	n1	sort	sort	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Cleargie	Cleargie	n1	Clergy	clergy	0
men	men	n2	men	man	0
)	)	)	)	)	0
found	found	vvd	found	find	0
us	us	pno12	us	we	0
out	out	av	out	out	0
:	:	:	:	:	0
and	and	cc	and	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
could	could	vmd	could	can	0
as	as	p-acp	as	as	0
yet	yet	av	yet	yet	0
sing	sing	vvi	sing	sing	0
many	many	d	many	many	0
songs	songs	n2	songs	song	0
without	without	p-acp	without	without	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
accompted	accompted	vvn	accounted	account	0
of	of	pp-f	of	of	0
other	other	n-jn	other	other	0
Hungarians	Hungarians	njp2	Hungarians	hungarian	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Priest	Priest	n1	Priest	priest	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
sent	sent	vvn	sent	send	0
for	for	p-acp	for	for	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
funerals	funerals	n2	funerals	funeral	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
deceased	deceased	j-vvn	deceased	decease	0
countrey	countrey	n1	country	country	0
men	men	n2	men	man	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
was	was	vbds	was	be	0
276	276	crd	276	276	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
another	another	j-jn	another	another	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
also	also	av	also	also	0
pretily	pretily	av-j	prettily	pretty	0
wel	wel	av	well	well	0
instructed	instructed	vvn	instructed	instruct	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Grammer	Grammer	n1	Grammar	grammar	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
hee	hee	pns31	he	he	0
could	could	vmd	could	can	0
understand	understand	vvi	understand	understand	0
the	the	dt	the	the	0
meaning	meaning	n1	meaning	meaning	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
spake	spake	vvd	spoke	speak	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
answere	answere	vvi	answer	answer	0
us	us	pno12	us	we	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
Hungarians	Hungarians	njp2	Hungarians	hungarian	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
comfort	comfort	n1	comfort	comfort	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
,	,	,	,	,	0
bringing	bringing	vvg	bringing	bring	0
us	us	pno12	us	we	0
Cosmos	Cosmos	np1	Cosmos	Cosmos	0
to	to	pc-acp	to	to	0
drinke	drinke	vvi	drink	drink	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
and	and	cc	and	and	0
sometimes	sometimes	av	sometime	sometime	0
flesh	flesh	n1	flesh	flesh	0
for	for	c-acp	for	for	0
to	to	pc-acp	to	to	0
eate	eate	vvi	eat	eat	0
also	also	av	also	also	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
requested	requested	vvd	requested	request	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
some	some	d	some	some	0
bookes	bookes	n2	books	book	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
any	any	d	any	any	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
them	them	pno32	them	they	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
indeede	indeede	av	indeed	indeed	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
none	none	pix	none	none	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
a	a	dt	a	a	0
Bible	Bible	n1	Bible	bible	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
breviarie	breviarie	n1	breviary	breviary	0
)	)	)	)	)	0
it	it	pn31	it	it	0
grieved	grieved	vvd	grieved	grieve	0
mee	mee	pno11	me	i	0
exceedingly	exceedingly	av-vvg	exceedingly	exceed	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
saide	saide	vvd	said	say	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
:	:	:	:	:	0
Bring	Bring	vvb	Bring	bring	0
mee	mee	pno11	me	i	0
some	some	d	some	some	0
inke	inke	n1	ink	ink	0
and	and	cc	and	and	0
paper	paper	n1	paper	paper	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
write	write	vvi	write	write	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
so	so	av	so	so	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
remaine	remaine	vvi	remain	remain	0
here	here	av	here	here	0
:	:	:	:	:	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
so	so	av	so	so	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
copied	copied	vvd	copied	copy	0
out	out	av	out	out	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
Horas	Horas	fw-la	Horas	horas	0
beatae	beatae	fw-la	beatae	beatae	0
Virginis	Virginis	fw-la	Virginis	virginis	0
,	,	,	,	,	0
and	and	cc	and	and	0
Officium	Officium	fw-la	Officium	officium	0
defunctorum	defunctorum	fw-la	defunctorum	defunctorum	0
.	.	.	.	.	1
Moreover	Moreover	np1	Moreover	Moreover	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
day	day	n1	day	day	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
Comanian	Comanian	jp	Comanian	comanian	0
A	A	dt	A	a	0
Comanian	Comanian	jp	Comanian	comanian	0
.	.	.	.	.	0
that	that	cst	that	that	0
accompanied	accompanied	vvd	accompanied	accompany	0
us	us	pno12	us	we	0
,	,	,	,	,	0
saluting	saluting	vvg	saluting	salute	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
Latine	Latine	jp	Latin	latin	0
,	,	,	,	,	0
and	and	cc	and	and	0
saying	saying	vvg	saying	say	0
:	:	:	:	:	0
Salvete	Salvete	j	Salvete	salvete	0
Domini	Domini	fw-la	Domini	domini	0
.	.	.	.	.	1
Wondering	Wondering	vvg	Wondering	wonder	0
thereat	thereat	av	thereat	thereat	0
and	and	cc	and	and	0
saluting	saluting	vvg	saluting	salute	0
him	him	pno31	him	he	0
againe	againe	av	again	again	0
,	,	,	,	,	0
I	I	pns11	I	i	0
demaunded	demaunded	vvd	demanded	demand	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
taught	taught	vvn	taught	teach	0
him	him	pno31	him	he	0
that	that	d	that	that	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
salutation	salutation	n1	salutation	salutation	0
?	?	?	?	?	1
Hee	Hee	pns31	He	he	0
saide	saide	vvd	said	say	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
was	was	vbds	was	be	0
baptized	baptized	vvn	baptised	baptize	0
in	in	p-acp	in	in	0
Hungaria	Hungaria	np1	Hungaria	Hungaria	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
Friers	Friers	n2	Friars	friar	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
hee	hee	pns31	he	he	0
learned	learned	vvd	learned	learn	0
it	it	pn31	it	it	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
saide	saide	vvd	said	say	0
moreover	moreover	av	moreover	moreover	0
,	,	,	,	,	0
that	that	cst	that	that	0
Baatu	Baatu	fw-la	Baatu	baatu	0
had	had	vhd	had	have	0
enquired	enquired	vvn	inquired	inquire	0
many	many	d	many	many	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
concerning	concerning	vvg	concerning	concern	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
tolde	tolde	vvd	told	tell	0
him	him	pno31	him	he	0
the	the	dt	the	the	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
order	order	n1	order	order	0
.	.	.	.	.	1
Afterwarde	Afterwarde	av	Afterward	afterward	0
I	I	pns11	I	i	0
sawe	sawe	vvd	saw	see	0
Baatu	Baatu	fw-la	Baatu	baatu	0
riding	riding	vvg	riding	ride	0
with	with	p-acp	with	with	0
Kis	Kis	n1	Kiss	kiss	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
his	his	po31	his	his	0
subjects	subjects	n2-jn	subject's	subject	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
housholders	housholders	n2	householders	householder	0
or	or	cc	or	or	0
masters	masters	n2	master's	master	0
of	of	pp-f	of	of	0
families	families	n2	families	family	0
riding	riding	vvg	riding	ride	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
mine	mine	po11	mine	my	0
estimation	estimation	n1	estimation	estimation	0
)	)	)	)	)	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
five	five	crd	five	five	0
hundred	hundred	crd	hundred	hundred	0
persons	persons	n2	persons	person	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
length	length	n1	length	length	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
of	of	pp-f	of	of	0
Holy	Holy	j	Holy	holy	0
roode	roode	n1	rood	rood	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
came	came	vvd	came	come	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
rich	rich	j	rich	rich	0
Moal	Moal	np1	Moal	Moal	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
(	(	(	(	(	0
whose	whose	rg-crq	whose	who	0
father	father	n1	father	father	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
Millenarie	Millenarie	j-jn	Millenary	millenary	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
office	office	n1	office	office	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
)	)	)	)	)	0
saying	saying	n1	saying	saying	0
:	:	:	:	:	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
the	the	dt	the	the	0
man	man	n1	man	man	0
that	that	cst	that	that	0
must	must	vmb	must	must	0
conduct	conduct	vvi	conduct	conduct	0
you	you	pn22	you	you	0
unto	unto	p-acp	unto	unto	0
Mangu-Can	Mangu-Can	j	Mangu-Can	mangu-can	0
,	,	,	,	,	0
and	and	cc	and	and	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
thither	thither	av	thither	thither	0
a	a	dt	a	a	0
journey	journey	n1	journey	journey	0
of	of	pp-f	of	of	0
foure	foure	crd	foure	four	0
moneths	moneths	n2	months	month	0
long	long	av-j	long	long	0
to	to	pc-acp	to	to	0
travell	travell	vvi	travel	travel	0
,	,	,	,	,	0
and	and	cc	and	and	0
A	A	dt	A	a	0
journey	journey	n1	journey	journey	0
of	of	pp-f	of	of	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
such	such	d	such	such	0
extreame	extreame	j-jn	extreme	extreme	0
colde	colde	j-jn	cold	cold	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
that	that	cst	that	that	0
stones	stones	n2	stones	stone	0
and	and	cc	and	and	0
+•	+•	n1	+•	+•	0
moneths	moneths	n2	months	month	0
trees	trees	n2	trees	tree	0
doe	doe	vdb	do	do	0
even	even	av	even	even	0
rive	rive	vvi	rive	rive	0
asunder	asunder	av	asunder	asunder	0
in	in	p-acp	in	in	0
regarde	regarde	n1	regard	regard	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
^rom	^rom	vvb	rome	rome	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
wish	wish	vvi	wish	wish	0
you	you	pn22	you	you	0
throughly	throughly	av-j	thoroughly	thorough	0
to	to	pc-acp	to	to	0
advise	advise	vvi	advice	advise	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
you	you	pn22	you	you	0
be	be	vbb	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
indure	indure	vvi	endure	endure	0
it	it	pn31	it	it	0
or	or	cc	or	or	0
no	no	uh-dx	no	no	0
.	.	.	.	.	1
Unto	Unto	p-acp	Unto	unto	0
whome	whome	ro-crq	whom	who	0
I	I	pns11	I	i	0
answered	answered	vvd	answered	answer	0
:	:	:	:	:	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
helpe	helpe	n1	help	help	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
shalbe	shalbe	vmb	shall	shall	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
brooke	brooke	vvi	brook	brook	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
other	other	j-jn	other	other	0
men	men	n2	men	man	0
can	can	vmb	can	can	0
indure	indure	vvi	endure	endure	0
.	.	.	.	.	1
Then	Then	cs	Then	than	0
he	he	pns31	he	he	0
saide	saide	vvd	said	say	0
:	:	:	:	:	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
cannot	cannot	vmbx	cannot	can	0
indure	indure	vvi	endure	endure	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
wil	wil	vmb	will	will	0
forsake	forsake	vvi	forsake	forsake	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
way	way	n1	way	way	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
