Commission	Commission	n1	Commission	commission	0
in	in	p-acp	in	in	0
257	257	crd	257	257	0
r	r	sy	r	r	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
bies	bies	n2	bies	bie	0
land	land	n1	land	land	0
joyne	joyne	vvi	join	join	0
continent	continent	n1	continent	continent	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
same	same	d	same	same	0
Nova	Nova	fw-la	Nova	nova	0
Zembla	Zembla	np1	Zembla	Zembla	0
,	,	,	,	,	0
or	or	cc	or	or	0
not	not	xx	not	not	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
then	then	av	then	then	0
prove	prove	vvi	prove	prove	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
one	one	crd	one	one	0
firme	firme	j	firm	firm	0
and	and	cc	and	and	0
continent	continent	n1	continent	continent	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
from	from	p-acp	from	from	0
Nova	Nova	np1	Nova	Nova	0
Zembla	Zembla	np1	Zembla	Zembla	0
direct	direct	vvb	direct	direct	0
your	your	po22	your	your	0
course	course	n1	course	course	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Willoughbies	Willoughbies	npg1	Willoughbies	willoughbies	0
land	land	n1	land	land	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
thinke	thinke	vvi	think	think	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
most	most	av-ds	most	most	0
conveniently	conveniently	av-j	conveniently	convenient	0
:	:	:	:	:	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
Willoughbies	Willoughbies	npg1	Willoughbies	willoughbies	0
land	land	n1	land	land	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
proceed	proceed	vvi	proceed	proceed	0
Westwards	Westwards	av-j	Westwards	westwards	0
alongst	alongst	p-acp	alongst	alongst	0
the	the	dt	the	the	0
tract	tract	n1	tract	tract	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
(	(	(	(	(	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
incline	incline	vvb	incline	incline	0
Northerly	Northerly	j	Northerly	northerly	0
)	)	)	)	)	0
even	even	av	even	even	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
or	or	cc	or	or	0
can	can	vmb	can	can	0
travell	travell	vvi	travel	travel	0
,	,	,	,	,	0
having	having	vhg	having	have	0
regard	regard	n1	regard	regard	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
convenient	convenient	j	convenient	convenient	0
time	time	n1	time	time	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
returne	returne	vvi	return	return	0
home	home	av-an	home	home	0
hither	hither	av	hither	hither	0
to	to	p-acp	to	to	0
London	London	np1	London	London	0
for	for	p-acp	for	for	0
wintering	wintering	vvg	wintering	winter	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
for	for	c-acp	for	for	0
your	your	po22	your	your	0
orderly	orderly	j	orderly	orderly	0
passing	passing	vvg	passing	pass	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
and	and	cc	and	and	0
making	making	vvg	making	make	0
observations	observations	n2	observations	observation	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
we	we	pns12	we	we	0
referre	referre	vvb	refer	refer	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
instructions	instructions	n2	instructions	instruction	0
given	given	vvn	given	give	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
William	William	np1	William	William	0
Burrough	Burrough	np1	Burrough	Burrough	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
one	one	crd	one	one	0
copie	copie	n1	copy	copy	0
is	is	vbz	is	be	0
annexed	annexed	vvn	annexed	annex	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
first	first	ord	first	first	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Indenture	Indenture	n1	Indenture	indenture	0
under	under	p-acp	under	under	0
our	our	po12	our	our	0
seale	seale	n1	seal	seal	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
Arthur	Arthur	np1	Arthur	Arthur	0
Pet	Pet	n1	Pet	pet	0
,	,	,	,	,	0
another	another	j-jn	another	another	0
copie	copie	n1	copy	copy	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
annexed	annexed	vvn	annexed	annex	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
second	second	ord	second	second	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Indenture	Indenture	n1	Indenture	indenture	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
our	our	po12	our	our	0
seale	seale	n1	seal	seal	0
also	also	av	also	also	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
Charles	Charles	np1	Charles	Charles	0
Jackman	Jackman	np1	Jackman	Jackman	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
third	third	ord	third	three	0
copy	copy	n1	copy	copy	0
thereof	thereof	av	thereof	thereof	0
is	is	vbz	is	be	0
annexed	annexed	vvn	annexed	annex	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
third	third	ord	third	three	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Indenture	Indenture	n1	Indenture	indenture	0
,	,	,	,	,	0
remaining	remaining	vvg	remaining	remain	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
sealed	sealed	vvn	sealed	seal	0
and	and	cc	and	and	0
subscribed	subscribed	vvn	subscribed	subscribe	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Arthur	Arthur	np1	Arthur	Arthur	0
Pet	Pet	np1	Pet	Pet	0
,	,	,	,	,	0
and	and	cc	and	and	0
Charles	Charles	np1	Charles	Charles	0
Jackman	Jackman	np1	Jackman	Jackman	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
observing	observing	vvg	observing	observe	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
contained	contained	vvn	contained	contain	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Commission	Commission	n1	Commission	commission	0
(	(	(	(	(	0
so	so	av	so	so	0
neere	neere	av-j	near	near	0
as	as	c-acp	as	as	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
permit	permit	vvi	permit	permit	0
me	me	pno11	me	i	0
grace	grace	vvi	grace	grace	0
thereunto	thereunto	av	thereunto	thereunto	0
)	)	)	)	)	0
I	I	pns11	I	i	0
the	the	av	the	then	0
said	said	vvd	said	say	0
Arthur	Arthur	np1	Arthur	Arthur	0
Pet	Pet	np1	Pet	Pet	0
doe	doe	vdb	do	do	0
covenant	covenant	n1	covenant	covenant	0
by	by	p-acp	by	by	0
these	these	d	these	these	0
presents	presents	n2	presents	present	0
to	to	pc-acp	to	to	0
performe	performe	vvi	perform	perform	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
part	part	n1	part	part	0
and	and	cc	and	and	0
parcell	parcell	n1	parcel	parcel	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Charles	Charles	np1	Charles	Charles	0
Jackman	Jackman	np1	Jackman	Jackman	0
doe	doe	vdb	do	do	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
part	part	n1	part	part	0
likewise	likewise	av	likewise	likewise	0
covenant	covenant	n1	covenant	covenant	0
by	by	p-acp	by	by	0
these	these	d	these	these	0
presents	presents	n2	presents	present	0
to	to	pc-acp	to	to	0
performe	performe	vvi	perform	perform	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
part	part	n1	part	part	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
so	so	av	so	so	0
neere	neere	av-j	near	near	0
as	as	c-acp	as	as	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
give	give	vvi	give	give	0
me	me	pno11	me	i	0
grace	grace	vvi	grace	grace	0
thereunto	thereunto	av	thereunto	thereunto	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
in	in	p-acp	in	in	0
witnes	witnes	n1	witness	witness	0
thereof	thereof	av	thereof	thereof	0
these	these	d	these	these	0
Indentures	Indentures	n2	Indentures	indenture	0
were	were	vbdr	were	be	0
sealed	sealed	vvn	sealed	seal	0
and	and	cc	and	and	0
delivered	delivered	vvd	delivered	deliver	0
accordingly	accordingly	av-vvg	accordingly	accord	0
,	,	,	,	,	0
the	the	dt	the	the	0
day	day	n1	day	day	0
and	and	cc	and	and	0
yeere	yeere	n1	year	year	0
first	first	ord	first	first	0
above	above	p-acp	above	above	0
written	written	vvn	written	write	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
the	the	dt	the	the	0
Lorde	Lorde	n1	Lord	lord	0
God	God	np1	God	God	0
Almightie	Almightie	j-jn	Almighty	almighty	0
sende	sende	vvb	send	send	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
prosperous	prosperous	j	prosperous	prosperous	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
happie	happie	j	happy	happy	0
successe	successe	n1	success	success	0
and	and	cc	and	and	0
safe	safe	j	safe	safe	0
returne	returne	n1	return	return	0
,	,	,	,	,	0
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	1
